regimen,acat,all_tb,all_ae,tst_tb,tst_ae
none,0-17,"53.3 (37.6,66.3)"," 0.0 ( 0.0, 0.0)","53.3 (37.6,66.3)"," 0.0 ( 0.0, 0.0)"
none,18-34," 8.8 ( 6.5,10.8)"," 0.0 ( 0.0, 0.0)"," 8.8 ( 6.5,10.8)"," 0.0 ( 0.0, 0.0)"
none,35-64," 8.9 ( 6.5,10.8)"," 0.0 ( 0.0, 0.0)"," 8.9 ( 6.5,10.8)"," 0.0 ( 0.0, 0.0)"
none,65+," 8.9 ( 6.6,10.8)"," 0.0 ( 0.0, 0.0)"," 8.9 ( 6.6,10.8)"," 0.0 ( 0.0, 0.0)"
6H,0-17,"23.1 (15.2,28.9)"," 2.5 ( 0.7, 3.5)","33.3 (22.9,41.3)"," 0.6 ( 0.2, 0.9)"
6H,18-34," 3.7 ( 2.6, 4.5)","15.4 (13.0,17.5)"," 5.3 ( 3.9, 6.5)"," 3.9 ( 3.3, 4.4)"
6H,35-64," 3.8 ( 2.7, 4.6)","28.0 (25.2,30.7)"," 5.4 ( 4.0, 6.6)"," 7.0 ( 6.3, 7.7)"
6H,65+," 3.9 ( 2.8, 4.7)","55.1 (39.8,67.2)"," 5.5 ( 4.0, 6.7)","13.8 ( 9.9,16.8)"
4R,0-17,"20.9 (12.7,26.5)"," 3.0 ( 0.8, 4.1)","31.7 (21.0,39.6)"," 0.8 ( 0.2, 1.0)"
4R,18-34," 3.3 ( 2.2, 4.0)"," 8.8 ( 7.0,10.3)"," 5.1 ( 3.6, 6.2)"," 2.2 ( 1.7, 2.6)"
4R,35-64," 3.3 ( 2.2, 4.1)"," 9.0 ( 7.3,10.5)"," 5.2 ( 3.7, 6.3)"," 2.3 ( 1.8, 2.6)"
4R,65+," 3.4 ( 2.3, 4.2)","22.9 (12.3,30.4)"," 5.2 ( 3.6, 6.3)"," 5.7 ( 3.1, 7.6)"
3HP,0-17,"14.8 ( 8.7,18.8)"," 5.6 ( 2.9, 7.4)","27.6 (18.0,34.8)"," 1.4 ( 0.7, 1.9)"
3HP,18-34," 2.4 ( 1.5, 2.9)","20.3 (17.7,22.8)"," 4.5 ( 3.1, 5.5)"," 5.1 ( 4.4, 5.7)"
3HP,35-64," 2.5 ( 1.7, 3.1)","41.8 (38.6,44.9)"," 4.6 ( 3.2, 5.6)","10.5 ( 9.6,11.2)"
3HP,65+," 2.8 ( 1.9, 3.4)","83.8 (66.6,98.8)"," 4.8 ( 3.4, 5.8)","21.0 (16.7,24.7)"
